Date,#tx,Vol,mean_tx,mean_tdiff,var_tdiff,Transaction,Open_price,High_price,Low_Price,Close_Price,Ex_volume,Wt_Price
9/12/2012,54604,1.07586E+15,19703035984,2994469.046,178974256.5,23.00668134,11.33081,11.39,10.78,11.36489,58628.00499,11.20631861
9/13/2012,62039,2.25433E+15,36337287321,2986368.087,93752893.45,20.11991821,11.22854,11.399,11.2201,11.399,20574.31973,11.34432213
9/14/2012,74654,1.7998E+15,24108548078,3003574.768,154238560.1,21.40527069,11.399,11.799,11.32103,11.67,43259.7042,11.57586223
9/15/2012,55573,6.911E+14,12435895717,3021201.084,190709669.5,16.00925068,11.74999,11.789,11.6,11.75,16272.51518,11.70758959
9/16/2012,60702,1.4067E+15,23173863657,3003437.148,123178597.8,14.37584654,11.75,11.99,11.722,11.87,30297.22071,11.8767949
9/17/2012,51993,1.31965E+15,25381372467,2983119.166,78849485.07,14.49014511,11.87,11.9625,11.7655,11.89,26612.47988,11.89901374
9/18/2012,65396,1.27715E+15,19529512424,2969133.103,2085065536,19.83549726,11.9325,12.3456,11.8402,12.25,40949.27649,12.06443859
9/19/2012,66600,3.13745E+15,47108809998,2968372.379,7742406805,22.47986657,12.2345,12.68666,12.1501,12.5725,41883.00148,12.40583367
9/20/2012,59687,1.63326E+15,27363818561,2961545.685,250433056.6,20.6905111,12.572,12.66,12.25,12.28253,32567.33588,12.48083279
9/21/2012,64800,2.54139E+15,39219049202,2979790.35,297812178.6,29.49860957,12.3998,12.49998,12.011,12.368,35834.78365,12.26948165
9/22/2012,51352,1.5026E+15,29260825882,3005333.485,160406267.2,15.707411,12.27319,12.39999,12.14,12.23781,14986.55832,12.2233765
9/23/2012,59318,7.67289E+14,12935187208,3045430.837,565735773.9,15.21996842,12.23781,12.27,11.6304,12.19331,39920.72247,12.00437223
9/24/2012,59775,8.08428E+14,13524523197,3069708.513,77544114.35,27.32303762,12.151,12.29888,11.95105,12.1,27291.82515,12.12396334
9/25/2012,48960,1.86704E+14,3813397068,3066234.795,1914771798,17.18850981,12.1,12.22909,12.008,12.197,21228.60967,12.11452461
9/26/2012,64839,1.62424E+14,2505033027,3082922.77,263110761.9,18.39848429,12.196,12.46,12.02,12.27,23495.17678,12.23301862
9/27/2012,57515,1.37089E+14,2383532243,3102913.567,196074911.1,17.75388518,12.37,12.395,12.207,12.30889,19326.68579,12.31723585
9/28/2012,71657,2.60457E+14,3634775036,3140079.798,399060604.6,57.9866703,12.27,12.44998,12.12,12.39101,26674.77916,12.35011251
9/29/2012,51257,1.29092E+14,2518516965,3161299.042,82499488.51,14.87112626,12.44,12.49,12.21111,12.36309,17061.65671,12.39664722
9/30/2012,47087,1.43148E+14,3040074999,3144604.769,72893110.94,12.37119439,12.363,12.44889,12.301,12.4,7793.913681,12.37659166
10/1/2012,57272,1.62195E+14,2832020062,3136040.584,498305403.6,15.05241324,12.35,12.481,12.321,12.4,24826.68788,12.39064921
10/2/2012,75239,1.99616E+14,2653089085,3121047.56,3661855399,25.53766212,12.4299,12.88,12.3435,12.84,50833.35053,12.63005305
10/3/2012,67052,1.30538E+14,1946821392,3140020.024,142647555.2,23.89542547,12.84,12.99,12.68001,12.89,32955.07396,12.83552298
10/4/2012,74303,1.16309E+14,1565333899,3152351.268,110622643.1,129.0727315,12.88351,13.0899,12.6,12.85,37945.14991,12.88204755
10/5/2012,72397,2.58305E+14,3567894977,3195680.329,554986388.2,27.33750416,12.8001,12.97,12.51,12.688,31258.4424,12.74622379
10/6/2012,73205,1.97098E+14,2692413498,3249525.035,209846268.5,23.63559135,12.78998,12.85999,12.35,12.505,24673.40577,12.58492747
10/7/2012,77266,1.77439E+14,2296465434,3277265.17,236399600,23.24799372,12.505,12.6185,11.7,11.80001,63512.03441,12.01052634
10/8/2012,82168,1.78317E+14,2170152115,3303938.076,91813865.4,29.1855467,11.89901,11.95198,10.621,11.77809,97938.3987,11.25533226
10/9/2012,75742,1.33728E+14,1765575715,3318743.689,99078844.21,24.92948098,11.7381,12.35,11.5711,11.895,46768.79541,11.96727229
10/10/2012,67731,8.83991E+13,1305149583,3328871.313,162591881.5,22.58048511,11.895,12.19,11.767,12.12,27722.07331,12.02477133
10/11/2012,56108,1.24287E+14,2215141764,3334131.967,63810127.77,25.1547753,12.13,12.151,11.85788,12.03,19831.63732,12.02538471
10/12/2012,60665,2.58688E+14,4264208837,3322941.901,85377655.78,18.97829142,12.11751,12.15,11.92,12,21538.03094,12.04950116
10/13/2012,73280,2.70685E+14,3693843470,3329746.109,260578557.8,24.55671427,12,12.11,11.85,11.86101,11861.67744,11.96039205
10/14/2012,60582,1.39972E+14,2310453881,3315226.475,218891517.2,16.36760937,11.86101,12.03,11.496,11.7389,22891.09685,11.84459752
10/15/2012,67877,8.40548E+13,1238339386,3318881.209,194265392.9,19.19003194,11.57621,11.98863,11.43,11.83807,27101.72214,11.720037
10/16/2012,78430,2.74452E+14,3499318175,3340983.398,707145959.7,25.96467158,11.83807,11.99,11.5,11.8499,41184.66467,11.7937278
10/17/2012,72646,3.41317E+14,4698361782,3365700.416,173248389.3,66.89339529,11.82461,11.95998,11.7,11.81,23553.36283,11.87833994
10/18/2012,67985,3.39964E+14,5000578150,3361646.464,304367957.2,18.16174438,11.81,11.9599,11.75,11.93977,21880.83959,11.87594361
10/19/2012,61250,2.62588E+14,4287153280,3362877.863,123241129,17.28631948,11.9349,11.967,11.619,11.74012,23177.45077,11.76319547
